"x","y","color","pen down?","x","y","color","pen down?"
"392","35","105","true","392","124","15","true"
"393","37","105","true","393","120","15","true"
"394","35","105","true","394","122","15","true"
"395","34","105","true","395","122","15","true"
"396","35","105","true","396","122","15","true"
"397","35","105","true","397","125","15","true"
"398","33","105","true","398","128","15","true"
"399","34","105","true","399","127","15","true"
"400","37","105","true","400","127","15","true"
"401","36","105","true","401","130","15","true"
"402","38","105","true","402","131","15","true"
"403","36","105","true","403","133","15","true"
"404","36","105","true","404","142","15","true"
"405","37","105","true","405","148","15","true"
"406","36","105","true","406","146","15","true"
"407","35","105","true","407","147","15","true"
"408","38","105","true","408","143","15","true"
"409","41","105","true","409","140","15","true"
"410","41","105","true","410","142","15","true"
"411","39","105","true","411","140","15","true"
"412","41","105","true","412","137","15","true"
"413","44","105","true","413","138","15","true"
"414","45","105","true","414","138","15","true"
"415","41","105","true","415","141","15","true"
"416","41","105","true","416","141","15","true"
"417","41","105","true","417","140","15","true"
"418","42","105","true","418","137","15","true"
"419","43","105","true","419","132","15","true"
"420","41","105","true","420","132","15","true"
"421","41","105","true","421","133","15","true"
"422","42","105","true","422","133","15","true"
"423","38","105","true","423","134","15","true"
"424","39","105","true","424","129","15","true"
"425","39","105","true","425","126","15","true"
"426","38","105","true","426","125","15","true"
"427","40","105","true","427","122","15","true"
"428","39","105","true","428","124","15","true"
"429","37","105","true","429","119","15","true"
"430","35","105","true","430","113","15","true"
"431","33","105","true","431","117","15","true"
"432","32","105","true","432","114","15","true"
"433","33","105","true","433","115","15","true"
"434","33","105","true","434","118","15","true"
"435","35","105","true","435","115","15","true"
"436","35","105","true","436","115","15","true"
"437","35","105","true","437","117","15","true"
"438","34","105","true","438","116","15","true"
"439","39","105","true","439","114","15","true"
"440","41","105","true","440","120","15","true"
"441","42","105","true","441","115","15","true"
"442","42","105","true","442","120","15","true"
"443","40","105","true","443","121","15","true"
"444","39","105","true","444","120","15","true"
"445","38","105","true","445","121","15","true"
"446","38","105","true","446","121","15","true"
"447","38","105","true","447","117","15","true"
"448","37","105","true","448","122","15","true"
"449","37","105","true","449","127","15","true"
"450","38","105","true","450","126","15","true"
"451","38","105","true","451","122","15","true"
"452","39","105","true","452","120","15","true"
"453","40","105","true","453","117","15","true"
"454","39","105","true","454","118","15","true"
"455","37","105","true","455","117","15","true"
"456","38","105","true","456","116","15","true"
"457","38","105","true","457","117","15","true"
"458","38","105","true","458","120","15","true"
"459","40","105","true","459","120","15","true"
"460","42","105","true","460","122","15","true"
"461","43","105","true","461","123","15","true"
"462","39","105","true","462","124","15","true"
"463","40","105","true","463","122","15","true"
"464","40","105","true","464","121","15","true"
"465","39","105","true","465","121","15","true"
"466","40","105","true","466","122","15","true"
"467","44","105","true","467","119","15","true"
"468","46","105","true","468","117","15","true"
"469","46","105","true","469","119","15","true"
"470","47","105","true","470","113","15","true"
"471","46","105","true","471","113","15","true"
"472","45","105","true","472","111","15","true"
"473","45","105","true","473","115","15","true"
"474","47","105","true","474","116","15","true"
"475","48","105","true","475","113","15","true"
"476","50","105","true","476","115","15","true"
"477","50","105","true","477","118","15","true"
"478","50","105","true","478","119","15","true"
"479","50","105","true","479","121","15","true"
"480","51","105","true","480","122","15","true"
"481","52","105","true","481","124","15","true"
"482","50","105","true","482","126","15","true"
"483","55","105","true","483","120","15","true"
"484","56","105","true","484","120","15","true"
"485","56","105","true","485","119","15","true"
"486","59","105","true","486","120","15","true"
"487","58","105","true","487","119","15","true"
"488","55","105","true","488","114","15","true"
"489","56","105","true","489","113","15","true"
"490","57","105","true","490","114","15","true"
"491","55","105","true","491","120","15","true"
"492","56","105","true","492","123","15","true"
"493","54","105","true","493","126","15","true"
"494","53","105","true","494","123","15","true"
"495","53","105","true","495","122","15","true"
"496","56","105","true","496","126","15","true"
"497","57","105","true","497","122","15","true"
"498","53","105","true","498","125","15","true"
"499","51","105","true","499","124","15","true"
"500","52","105","true","500","122","15","true"
"501","51","105","true","501","122","15","true"
"502","51","105","true","502","123","15","true"
"503","52","105","true","503","122","15","true"
"504","52","105","true","504","125","15","true"
"505","53","105","true","505","121","15","true"
"506","53","105","true","506","120","15","true"
"507","53","105","true","507","122","15","true"
"508","55","105","true","508","118","15","true"
"509","56","105","true","509","117","15","true"
"510","59","105","true","510","120","15","true"
"511","58","105","true","511","115","15","true"
"512","57","105","true","512","119","15","true"
"513","55","105","true","513","112","15","true"
"514","53","105","true","514","107","15","true"
"515","52","105","true","515","107","15","true"
"516","50","105","true","516","110","15","true"
"517","53","105","true","517","114","15","true"
"518","55","105","true","518","117","15","true"
"519","57","105","true","519","114","15","true"
"520","56","105","true","520","112","15","true"
"521","56","105","true","521","114","15","true"
"522","56","105","true","522","111","15","true"
"523","53","105","true","523","116","15","true"
"524","56","105","true","524","115","15","true"
"525","54","105","true","525","113","15","true"
"526","54","105","true","526","113","15","true"
"527","55","105","true","527","109","15","true"
"528","56","105","true","528","106","15","true"
"529","51","105","true","529","105","15","true"
"530","52","105","true","530","105","15","true"
"531","53","105","true","531","104","15","true"
"532","51","105","true","532","100","15","true"
"533","51","105","true","533","102","15","true"
"534","53","105","true","534","103","15","true"
"535","54","105","true","535","105","15","true"
"536","57","105","true","536","103","15","true"
"537","56","105","true","537","106","15","true"
"538","59","105","true","538","107","15","true"
"539","57","105","true","539","112","15","true"
"540","54","105","true","540","113","15","true"
"541","56","105","true","541","112","15","true"
"542","61","105","true","542","115","15","true"
"543","62","105","true","543","113","15","true"
"544","64","105","true","544","113","15","true"
"545","60","105","true","545","111","15","true"
"546","58","105","true","546","112","15","true"
"547","57","105","true","547","113","15","true"
"548","58","105","true","548","119","15","true"
"549","56","105","true","549","117","15","true"
"550","57","105","true","550","114","15","true"
"551","54","105","true","551","115","15","true"
"552","53","105","true","552","121","15","true"
"553","52","105","true","553","118","15","true"
"554","49","105","true","554","120","15","true"
"555","48","105","true","555","119","15","true"
"556","46","105","true","556","112","15","true"
"557","47","105","true","557","111","15","true"
"558","45","105","true","558","114","15","true"
"559","46","105","true","559","118","15","true"
"560","46","105","true","560","125","15","true"
"561","44","105","true","561","124","15","true"
"562","42","105","true","562","115","15","true"
"563","41","105","true","563","113","15","true"
"564","42","105","true","564","115","15","true"
"565","43","105","true","565","113","15","true"
"566","43","105","true","566","114","15","true"
"567","44","105","true","567","114","15","true"
"568","43","105","true","568","111","15","true"
"569","42","105","true","569","114","15","true"
"570","39","105","true","570","114","15","true"
"571","38","105","true","571","115","15","true"
"572","36","105","true","572","115","15","true"
"573","38","105","true","573","115","15","true"
