wals_code,Name,latitude,longitude
bra,Brao,14.1666666667,107.5
brb,Bariba,10.0,2.5
brc,Boruca,8.83333333333,-83.25
brd,Bardi,-16.5833333333,122.916666667
bre,Breton,48.0,-3.0
brf,Berber (Rif),34.5,-4.0
brh,Brahui,28.5,67.0
bri,Bribri,9.41666666667,-83.0
brj,Burji,5.5,37.8333333333
brk,Berik,-2.25,138.833333333
brl,Baragaunle,28.8333333333,83.8333333333
brm,Burmese,21.0,96.0
brn,Burunge,-5.33333333333,36.0
bro,Broken,-10.1666666667,143.0
brp,Barupu,-3.08333333333,142.083333333
brr,Bororo,-16.0,-57.0
brs,Barasano,-0.166666666667,-70.6666666667
bru,Bru (Eastern),17.3333333333,106.0
brw,Bru (Western),16.75,104.75
bry,Baruya,-6.91666666667,145.916666667
brz,Birri,5.5,25.1666666667
bse,Berber (Ayt Seghrouchen Middle Atlas),33.3333333333,-4.66666666667
bsh,Bushoong,-4.5,21.5
bsi,Berber (Siwa),29.1666666667,25.5
bsk,Bashkir,53.0,58.0
bsl,British Sign Language,52.0,-1.0
bsm,Bislama,-16.0,168.0
bso,Basque (Souletin),43.5,-1.5
bsq,Basque,43.0,-3.0
bsr,Basari,12.6666666667,-13.0
bth,Bathari,18.0,56.0
bti,Betoi,7.16666666667,-71.25
btk,Bontok,17.0833333333,120.916666667
bto,Batak (Toba),2.5,99.0
bua,Burarra,-12.25,134.583333333
bub,Bubi,3.5,8.66666666667
bud,Buduma,13.5,14.5
bug,Bugis,-4.0,120.0
bui,Buli (in Indonesia),1.0,128.5
buj,Bujeba,3.0,10.1666666667
buk,Bukusu,0.75,34.6666666667
bul,Bulgarian,42.5,25.0
bum,Buma,-11.6333333333,166.833333333
bun,Buin,-6.75,155.75
bur,Burushaski,36.5,74.5
bus,Busa,9.66666666667,4.0
but,Buriat,52.0,108.0
buu,Buru,-3.5,126.5
buw,Bulu,3.0,11.0
buy,Buli (in Ghana),10.5,-1.25
bvi,Bali-Vitu,-4.9,149.116666667
bwa,Bandjalang (Waalubal),-29.0833333333,152.583333333
bwc,Bajau (West Coast),6.33333333333,116.333333333
bxj,Bayungu,-23.0,114.0
bya,Byansi,30.1666666667,80.5
bys,Bayso,6.25,37.75
byu,Bandjalang (Yugumbir),-27.9166666667,153.0
bzi,Bauzi,-2.5,137.5
cab,Cabécar,9.75,-83.4166666667
cac,Cacua,1.08333333333,-70.0
cad,Caddo,33.3333333333,-93.5
cah,Cahuilla,33.5,-116.25
cai,Chai,5.33333333333,35.3333333333
cak,Cakchiquel,14.5,-91.0
cam,Camsá,1.16666666667,-77.0
can,Candoshi,-4.16666666667,-77.0
cap,Capanahua,-7.0,-74.0
car,Carib,5.5,-56.0
cas,Cashibo,-8.5,-75.5
cat,Catio,7.16666666667,-76.3333333333
cav,Cavineña,-13.3333333333,-66.5
cax,Campa (Axininca),-12.0,-74.0
cay,Cayapa,0.666666666667,-79.0
cba,Chumash (Barbareño),34.5,-120.25
cbo,Chácobo,-12.1666666667,-66.75
cch,Chocho,17.6666666667,-97.4166666667
cck,Chickasaw,34.0,-88.0
ccm,Chinantec (Comaltepec),17.5833333333,-96.4166666667
cco,Chasta Costa,42.6666666667,-124.0
ccp,Cocopa,32.3333333333,-115.0
cct,Choctaw,32.25,-88.5
cde,Carib (De'kwana),5.5,-65.0
cea,Cree (Swampy),56.0,-90.0
ceb,Cebuano,10.0,124.0
cec,Chicomuceltec,15.5,-92.25
cem,Cèmuhî,-20.8333333333,165.166666667
cga,Chaga,-3.0,37.0
cha,Chamorro,13.45,144.75
chb,Chambri,-4.16666666667,143.083333333
chc,Chechen,43.25,45.8333333333
chd,Chaudangsi,30.0,80.25
che,Cherokee,35.5,-83.5
chg,Chang,26.3333333333,94.75
chh,Chaha,8.112935,37.93267
chi,Chimariko,41.0,-123.0
chj,Chuj,15.9166666667,-91.5833333333
chk,Chukchi,67.0,-173.0
chl,Chehalis (Upper),46.5833333333,-123.0
chm,Chamalal,42.55,46.05
chn,Chantyal,28.5833333333,83.4166666667
cho,Chontal (Highland),16.25,-95.75
chp,Chipewyan,59.0,-106.0
chq,Chinantec (Quiotepec),17.5833333333,-96.6666666667
chr,Chrau,10.75,107.5
chs,Chin (Siyin),23.8333333333,94.0
cht,Chatino (Nopala),16.0833333333,-97.1666666667
chu,Chulupí,-23.5,-60.5
chv,Chuvash,55.5,47.5
chw,Cham (Western),12.0,105.5
chx,Chontal (Huamelultec Oaxaca),16.0,-95.75
chy,Chayahuita,-5.5,-77.0
chz,Chaozhou,23.6666666667,116.666666667
cic,Chichewa,-14.0,34.0
cil,CiLuba,-6.0,22.0
cin,Chumash (Ineseño),34.6666666667,-120.25
cjo,Chichimeca-Jonaz,21.6666666667,-100.5
ckh,Cheke Holo,-8.33333333333,159.666666667
ckl,Chinook (Lower),46.25,-123.5
ckr,Canela-Krahô,-6.0,-46.0
cku,Chinook (Upper),45.5,-122.5
cla,Clallam,48.0833333333,-123.75
clc,Colac,-38.3333333333,143.5
cld,Chaldean (Modern),36.0,43.0
cle,Chinantec (Lealao),17.3333333333,-95.9166666667
cln,Cholón,-8.0,-77.5
cly,Chulym,54.3333333333,89.6666666667
cma,Chimila,10.0,-74.0
cmc,Comecrudo,25.8333333333,-99.0
cme,Cham (Eastern),11.3333333333,108.5
cmh,Chemehuevi,34.3333333333,-115.166666667
cmk,Chemakum,48.0833333333,-122.916666667
cml,Camling,27.0,86.6666666667
cmn,Comanche,33.5,-101.5
cmr,Chin (Mara),23.0,93.1666666667
cmx,Comox,50.1666666667,-125.0
cmy,Chontal Maya,18.1666666667,-92.5833333333
cnl,Canela,-7.0,-45.0
cnm,Canamarí,-6.5,-68.5
cnt,Cantonese,23.0,113.0
coa,Coahuilteco,28.0,-100.0
coc,Cocama,-5.0,-74.5
